geography_code,date,date_name,value,notes
E14000531,2023-06-01,Jul 2022-Jun 2023,22.8,Normal Value
E14000533,2022-06-01,Jul 2021-Jun 2022,17.7,Normal Value
E14000535,2024-03-01,Apr 2023-Mar 2024,31.8,Normal Value
E14000537,2023-09-01,Oct 2022-Sep 2023,19.2,Normal Value
E14000542,2023-12-01,Jan 2023-Dec 2023,36.8,Normal Value
E14000556,2022-12-01,Jan 2022-Dec 2022,16.4,Normal Value
E14000558,2022-03-01,Apr 2021-Mar 2022,36.8,Normal Value
E14000559,2022-06-01,Jul 2021-Jun 2022,34.2,Normal Value
E14000561,2023-03-01,Apr 2022-Mar 2023,73.4,Normal Value
E14000562,2023-09-01,Oct 2022-Sep 2023,48.0,Normal Value
E14000563,2022-12-01,Jan 2022-Dec 2022,47.9,Normal Value
E14000564,2023-06-01,Jul 2022-Jun 2023,29.4,Normal Value
E14000566,2024-03-01,Apr 2023-Mar 2024,54.1,Normal Value
E14000567,2022-09-01,Oct 2021-Sep 2022,13.9,Normal Value
E14000568,2023-03-01,Apr 2022-Mar 2023,19.4,Normal Value
E14000569,2024-03-01,Apr 2023-Mar 2024,45.1,Normal Value
E14000570,2024-03-01,Apr 2023-Mar 2024,20.5,Normal Value
E14000572,2023-06-01,Jul 2022-Jun 2023,24.2,Normal Value
E14000573,2024-03-01,Apr 2023-Mar 2024,60.0,Normal Value
E14000574,2024-03-01,Apr 2023-Mar 2024,19.7,Normal Value
E14000575,2022-12-01,Jan 2022-Dec 2022,28.4,Normal Value
E14000579,2022-03-01,Apr 2021-Mar 2022,30.8,Normal Value
E14000581,2022-12-01,Jan 2022-Dec 2022,18.2,Normal Value
E14000582,2022-06-01,Jul 2021-Jun 2022,47.2,Normal Value
E14000584,2023-09-01,Oct 2022-Sep 2023,13.6,Normal Value
E14000585,2024-03-01,Apr 2023-Mar 2024,36.2,Normal Value
E14000586,2024-03-01,Apr 2023-Mar 2024,14.8,Normal Value
E14000589,2024-03-01,Apr 2023-Mar 2024,56.2,Normal Value
E14000592,2022-03-01,Apr 2021-Mar 2022,27.6,Normal Value
E14000597,2022-09-01,Oct 2021-Sep 2022,32.0,Normal Value
E14000598,2023-03-01,Apr 2022-Mar 2023,17.5,Normal Value
E14000601,2024-03-01,Apr 2023-Mar 2024,21.1,Normal Value
E14000605,2022-09-01,Oct 2021-Sep 2022,28.5,Normal Value
